event_id,event_time,ccy_couple,rate
288230383844089600,1734255000185,EURUSD,1.0282939
288230383844089601,1734255000359,EURUSD,1.02776621
288230383844089602,1734255000677,EURUSD,1.02963406
288230383844089603,1734255000504,NZDUSD,1.16931813
288230383844089604,1734255000786,NZDUSD,1.16929474
288230383844089605,1734255000768,AUDUSD,1.3357035
288230383844089606,1734255000279,EURGBP,1.40549452
288230383844089607,1734255000446,GBPUSD,1.32514582
288230383844089608,1734255010977,EURUSD,1.03006117
288230383844089609,1734255010526,EURUSD,1.03016437
288230383844089610,1734255010059,EURUSD,1.03207615
288230383844089611,1734255010581,NZDUSD,1.16945323
288230383844089612,1734255010816,AUDUSD,1.33561902
288230383844089613,1734255010763,AUDUSD,1.33473823
288230383844089614,1734255010476,EURGBP,1.40413809
288230383844089615,1734255010474,GBPUSD,1.32526247
288230383844089616,1734255010596,GBPUSD,1.32536565
288230383844089617,1734255020273,EURUSD,1.03239962
288230383844089618,1734255020888,EURUSD,1.03276203
288230383844089619,1734255020199,EURUSD,1.03331025
288230383844089620,1734255020035,EURUSD,1.03217031
288230383844089621,1734255020537,NZDUSD,1.17134569
288230383844089622,1734255020594,NZDUSD,1.1718567
288230383844089623,1734255020663,AUDUSD,1.33301644
288230383844089624,1734255020139,AUDUSD,1.33321186
288230383844089625,1734255020478,AUDUSD,1.33255661
288230383844089626,1734255020663,AUDUSD,1.33274121
288230383844089627,1734255020977,EURGBP,1.40453128
288230383844089628,1734255020124,GBPUSD,1.32545041
288230383844089629,1734255030649,EURUSD,1.03279402
288230383844089630,1734255030236,NZDUSD,1.17366855
288230383844089631,1734255030798,NZDUSD,1.17259477
288230383844089632,1734255030353,NZDUSD,1.17258392
288230383844089633,1734255030750,AUDUSD,1.33292052
288230383844089634,1734255030230,AUDUSD,1.33264474
288230383844089635,1734255030097,AUDUSD,1.33393869
288230383844089636,1734255030708,EURGBP,1.40363812
288230383844089637,1734255030383,GBPUSD,1.32625852
288230383844089638,1734255040282,EURUSD,1.03204133
288230383844089639,1734255040799,EURUSD,1.03304067
288230383844089640,1734255040914,NZDUSD,1.17234404
288230383844089641,1734255040750,NZDUSD,1.17247943
288230383844089642,1734255040172,NZDUSD,1.1743173
288230383844089643,1734255040638,AUDUSD,1.33310469
288230383844089644,1734255040571,AUDUSD,1.33288979
288230383844089645,1734255040272,EURGBP,1.4028424
288230383844089646,1734255040576,GBPUSD,1.3249947
288230383844089647,1734255050081,EURUSD,1.03383802
288230383844089648,1734255050877,EURUSD,1.0325973
288230383844089649,1734255050583,EURUSD,1.03314518
288230383844089650,1734255050358,EURUSD,1.0331388
288230383844089651,1734255050717,NZDUSD,1.17507262
288230383844089652,1734255050890,NZDUSD,1.17495362
288230383844089653,1734255050338,NZDUSD,1.17416386
288230383844089654,1734255050861,NZDUSD,1.17415766
288230383844089655,1734255050849,AUDUSD,1.33323086
288230383844089656,1734255050926,EURGBP,1.40381885
288230383844089657,1734255050205,EURGBP,1.40516665
288230383844089658,1734255050355,GBPUSD,1.32602696
288230383844089659,1734255060899,EURUSD,1.03295918
288230383844089660,1734255060173,EURUSD,1.03314855
288230383844089661,1734255060234,EURUSD,1.03387028
288230383844089662,1734255060342,NZDUSD,1.17292622
288230383844089663,1734255060489,NZDUSD,1.17178643
288230383844089664,1734255060997,AUDUSD,1.33317257
288230383844089665,1734255060975,AUDUSD,1.33089285
288230383844089666,1734255060022,AUDUSD,1.32966423
288230383844089667,1734255060539,AUDUSD,1.32886723
288230383844089668,1734255060046,EURGBP,1.40575501
288230383844089669,1734255060444,EURGBP,1.40825599
288230383844089670,1734255060245,GBPUSD,1.32552395
288230383844089671,1734255060815,GBPUSD,1.32631696
288230383844089672,1734255070412,EURUSD,1.03402344
288230383844089673,1734255070373,EURUSD,1.03520652
288230383844089674,1734255070600,EURUSD,1.03541065
288230383844089675,1734255070273,NZDUSD,1.17210767
288230383844089676,1734255070970,NZDUSD,1.17212481
288230383844089677,1734255070012,AUDUSD,1.32828653
288230383844089678,1734255070736,AUDUSD,1.32890333
288230383844089679,1734255070031,AUDUSD,1.32904077
288230383844089680,1734255070024,AUDUSD,1.32867539
288230383844089681,1734255070421,EURGBP,1.40772754
288230383844089682,1734255070916,EURGBP,1.40688357
288230383844089683,1734255070509,GBPUSD,1.32621882
288230383844089684,1734255070268,GBPUSD,1.32450726
288230383844089685,1734255080670,EURUSD,1.0368506
288230383844089686,1734255080425,EURUSD,1.03551787
288230383844089687,1734255080976,EURUSD,1.03652619
288230383844089688,1734255080916,EURUSD,1.0370147
288230383844089689,1734255080137,NZDUSD,1.17193661
288230383844089690,1734255080481,NZDUSD,1.17057279
288230383844089691,1734255080962,NZDUSD,1.17009646
288230383844089692,1734255080109,AUDUSD,1.32861458
288230383844089693,1734255080756,EURGBP,1.40817738
288230383844089694,1734255080404,GBPUSD,1.3239705
288230383844089695,1734255080235,GBPUSD,1.32468887
288230383844089696,1734255090731,EURUSD,1.03655747
288230383844089697,1734255090828,EURUSD,1.0359388
288230383844089698,1734255090860,EURUSD,1.03590579
288230383844089699,1734255090694,NZDUSD,1.16886455
288230383844089700,1734255090935,NZDUSD,1.16935596
288230383844089701,1734255090901,AUDUSD,1.32658161
288230383844089702,1734255090913,AUDUSD,1.32804497
288230383844089703,1734255090863,AUDUSD,1.32707089
288230383844089704,1734255090881,EURGBP,1.40905768
288230383844089705,1734255090898,EURGBP,1.41012012
288230383844089706,1734255090599,GBPUSD,1.32556685
288230383844089707,1734255100943,EURUSD,1.03525999
288230383844089708,1734255100769,EURUSD,1.03535375
288230383844089709,1734255100384,EURUSD,1.03512009
288230383844089710,1734255100380,EURUSD,1.0336678
288230383844089711,1734255100033,NZDUSD,1.16886237
288230383844089712,1734255100356,NZDUSD,1.16939496
288230383844089713,1734255100984,AUDUSD,1.32749732
288230383844089714,1734255100032,AUDUSD,1.32672855
288230383844089715,1734255100222,EURGBP,1.41121138
288230383844089716,1734255100505,EURGBP,1.40877534
288230383844089717,1734255100830,GBPUSD,1.32767704
288230383844089718,1734255100837,GBPUSD,1.32744971
288230383844089719,1734255110270,EURUSD,1.03404263
288230383844089720,1734255110550,NZDUSD,1.1687892
288230383844089721,1734255110093,AUDUSD,1.32655401
288230383844089722,1734255110133,EURGBP,1.40780186
288230383844089723,1734255110952,EURGBP,1.40687174
288230383844089724,1734255110743,GBPUSD,1.32928598
288230383844089725,1734255110423,GBPUSD,1.32956128
288230383844089726,1734255120909,EURUSD,1.03266767
288230383844089727,1734255120285,EURUSD,1.03280511
288230383844089728,1734255120062,NZDUSD,1.17138666
288230383844089729,1734255120114,NZDUSD,1.17087337
288230383844089730,1734255120910,NZDUSD,1.17103091
288230383844089731,1734255120815,NZDUSD,1.17083232
288230383844089732,1734255120639,AUDUSD,1.32663899
288230383844089733,1734255120353,EURGBP,1.40471703
288230383844089734,1734255120490,GBPUSD,1.32820358
288230383844089735,1734255130260,EURUSD,1.03258189
288230383844089736,1734255130599,EURUSD,1.0340181
288230383844089737,1734255130098,EURUSD,1.03462934
288230383844089738,1734255130998,EURUSD,1.03449249
288230383844089739,1734255130283,NZDUSD,1.17137558
288230383844089740,1734255130528,AUDUSD,1.32629628
288230383844089741,1734255130435,AUDUSD,1.32683304
288230383844089742,1734255130195,AUDUSD,1.32639311
288230383844089743,1734255130694,AUDUSD,1.32671345
288230383844089744,1734255130340,EURGBP,1.40616081
288230383844089745,1734255130824,EURGBP,1.4067028
288230383844089746,1734255130990,GBPUSD,1.32688068
288230383844089747,1734255130310,GBPUSD,1.32660981
288230383844089748,1734255140334,EURUSD,1.03525852
288230383844089749,1734255140368,EURUSD,1.03503503
288230383844089750,1734255140892,EURUSD,1.03533459
288230383844089751,1734255140927,NZDUSD,1.17277597
288230383844089752,1734255140711,NZDUSD,1.17352188
288230383844089753,1734255140731,NZDUSD,1.17310147
288230383844089754,1734255140993,NZDUSD,1.17414881
288230383844089755,1734255140834,AUDUSD,1.32718908
288230383844089756,1734255140130,AUDUSD,1.32782118
288230383844089757,1734255140395,AUDUSD,1.32829505
288230383844089758,1734255140405,EURGBP,1.40712658
288230383844089759,1734255140828,EURGBP,1.40792756
288230383844089760,1734255140680,GBPUSD,1.32616566
288230383844089761,1734255150201,EURUSD,1.03501509
288230383844089762,1734255150328,EURUSD,1.03495307
288230383844089763,1734255150317,EURUSD,1.03393358
288230383844089764,1734255150284,NZDUSD,1.17622063
288230383844089765,1734255150948,NZDUSD,1.17697476
288230383844089766,1734255150723,NZDUSD,1.17733356
288230383844089767,1734255150275,AUDUSD,1.33001843
288230383844089768,1734255150072,AUDUSD,1.32960495
288230383844089769,1734255150266,AUDUSD,1.33022202
